,Timestamp,Step,0,1,2,3
0,2024-04-01 22:11:08.691564,0,0.5,0.5,0.5,0.5
1,2024-04-01 22:13:24.486097,1,0.5047231834200945,0.5008582852133007,0.5047477814420182,0.5080357640858569
2,2024-04-01 22:15:58.818589,2,0.5096901602086038,0.5017056520254799,0.5096468395260385,0.5163678837229193
3,2024-04-01 22:18:27.903776,3,0.514903960902097,0.5025407009096421,0.514691894116386,0.5249917164666646
4,2024-04-01 22:20:55.490883,4,0.5203666345627664,0.5033620500601318,0.5198766185872894,0.5339010125852706
5,2024-04-01 22:23:29.165629,5,0.5260791740583418,0.5041683552447479,0.525193679342318,0.5430879251953897
6,2024-04-01 22:26:13.570378,6,0.5320414516319497,0.5049583298783066,0.5306347974339799,0.5525430448982125
7,2024-04-01 22:28:49.140224,7,0.5382521661048837,0.5057307646176515,0.5361908310742837,0.5622554571803213
8,2024-04-01 22:31:38.124846,8,0.5447088026477902,0.5064845457614827,0.5418518767628064,0.5722128197281943
9,2024-04-01 22:34:01.609469,9,0.5514076056419309,0.5072186717706763,0.5476073857908687,0.5824014559131357
10,2024-04-01 22:36:49.366906,10,0.5583435647781791,0.5079322673069318,0.5534462920986157,0.5928064601401024
11,2024-04-01 22:39:45.100916,11,0.5655104142488365,0.5086245943149953,0.559357146941868,0.6034118105921297
12,2024-04-01 22:42:49.703559,12,0.5729006447059091,0.509295059836486,0.565328255618339,0.6142004851687475
13,2024-04-01 22:45:25.608795,13,0.5805055276009797,0.5099432204272903,0.5713478116265736,0.6251545770856013
14,2024-04-01 22:48:04.360720,14,0.588315151577023,0.5105687832386963,0.5774040240685473,0.6362554075946261
15,2024-04-01 22:50:50.098468,15,0.5963184707212831,0.5111716039974256,0.5834852348077441,0.6474836344769607
16,2024-04-01 22:57:39.488740,16,0.6045033646637095,0.5117516822656258,0.5895800227818417,0.6588193562040319
17,2024-04-01 23:01:56.760920,17,0.6128567106607082,0.5123091544663984,0.5956772938502748,0.6702422127981477
18,2024-04-01 23:06:29.812480,18,0.6213644678819557,0.5128442852162972,0.601766355535784,0.68173148530911
19,2024-04-01 23:11:09.283127,19,0.6300117740708433,0.5133574575119167,0.6078369769079783,0.693266196348129
